company,news_title,news_link,hyperlink
티알,"AI 폐 기능 검사가 개발사 ‘티알’, 25억원 투자 유치",https://news.google.com/read/CBMiT0FVX3lxTFBkNmRfSWNockRpamhERXloeS1BaFJ6Snk3dDdlZVVSZkhnSF95ZVlxWnpwSUNtcDZVUnZ5R3U1UmxTU2VhcVc4cmpWYW1rd3M?hl=ko&gl=KR&ceid=KR%3Ako,"=HYPERLINK(""https://news.google.com/read/CBMiT0FVX3lxTFBkNmRfSWNockRpamhERXloeS1BaFJ6Snk3dDdlZVVSZkhnSF95ZVlxWnpwSUNtcDZVUnZ5R3U1UmxTU2VhcVc4cmpWYW1rd3M?hl=ko&gl=KR&ceid=KR%3Ako"", ""AI 폐 기능 검사가 개발사 ‘티알’, 25억원 투자 유치"")"
스냅컴퍼니,"AI 기반 CRM솔루션 기업 '스냅컴퍼니', 210억 규모 시리즈B 투자 유치",https://news.google.com/read/CBMi_gJBVV95cUxOZUcxZ0p1QWxsM1lZMDEtWHhMeHFJZ1l3dTBlclRVcEtYZmpFVlBqbFUzVWlJRDJpdldOVEJiNGw4UGw3bUlvUkl4ZEhWTmxTdGZoVGZWaUFORE5mUG5HaVgyUE0xRVl4ZmxrczAxUmNsSHpscE1JcHZhSXllS0RRTUJkQ29HSm9FTEphbTVSb1dKZGtrNHVGYWlKVlBfVUk1M0VUMWlUR1BXY2hDSnhRdlBkTTlxUnJNai13SkxLbms3Q1h6b0ZNWDliUkhhTUoxV2FQN2U0NVNzejFNRC12a01FQzNiUXJYOVB5dHZ3OWh4VTZscllJMEhHeEcxeFpnNEdOblB6bmhsWm8weHFNRFpHYWNGbzRDYmRxYkI5WlE0S3VJS0szaThxN292Y0c4b0xXMFJ3VXI3bEdibjl1cVc0cXhuVGRfMzJvVzFlLUVoQWVzZHpxSldZdVVERk43c0dJRFJOcHR4LUVwTWw4S2VUSHpHbXA4N1Y3NE5B?hl=ko&gl=KR&ceid=KR%3Ako,"=HYPERLINK(""https://news.google.com/read/CBMi_gJBVV95cUxOZUcxZ0p1QWxsM1lZMDEtWHhMeHFJZ1l3dTBlclRVcEtYZmpFVlBqbFUzVWlJRDJpdldOVEJiNGw4UGw3bUlvUkl4ZEhWTmxTdGZoVGZWaUFORE5mUG5HaVgyUE0xRVl4ZmxrczAxUmNsSHpscE1JcHZhSXllS0RRTUJkQ29HSm9FTEphbTVSb1dKZGtrNHVGYWlKVlBfVUk1M0VUMWlUR1BXY2hDSnhRdlBkTTlxUnJNai13SkxLbms3Q1h6b0ZNWDliUkhhTUoxV2FQN2U0NVNzejFNRC12a01FQzNiUXJYOVB5dHZ3OWh4VTZscllJMEhHeEcxeFpnNEdOblB6bmhsWm8weHFNRFpHYWNGbzRDYmRxYkI5WlE0S3VJS0szaThxN292Y0c4b0xXMFJ3VXI3bEdibjl1cVc0cXhuVGRfMzJvVzFlLUVoQWVzZHpxSldZdVVERk43c0dJRFJOcHR4LUVwTWw4S2VUSHpHbXA4N1Y3NE5B?hl=ko&gl=KR&ceid=KR%3Ako"", ""AI 기반 CRM솔루션 기업 '스냅컴퍼니', 210억 규모 시리즈B 투자 유치"")"
볼트1932,"프리미엄 자산보관 ‘볼트1932’, 젠엑시스로부터 투자 유치",https://news.google.com/read/CBMiSEFVX3lxTE9McXRSNE5VNzlGQ1poU0twd0pyUVpacElfeGtRaHpxN0c2QmF0bElNaF9aQ2d3WUhvZlk3QVVxZnFkakZQZGZ6LQ?hl=ko&gl=KR&ceid=KR%3Ako,"=HYPERLINK(""https://news.google.com/read/CBMiSEFVX3lxTE9McXRSNE5VNzlGQ1poU0twd0pyUVpacElfeGtRaHpxN0c2QmF0bElNaF9aQ2d3WUhvZlk3QVVxZnFkakZQZGZ6LQ?hl=ko&gl=KR&ceid=KR%3Ako"", ""프리미엄 자산보관 ‘볼트1932’, 젠엑시스로부터 투자 유치"")"
직스테크놀로지,"직스테크놀로지, 호라이즌아이엠으로부터 투자 유치",https://news.google.com/read/CBMiTkFVX3lxTFBfckZUQzNUTmVwT2lUUTRnTm1SckRJR1c0TmRUTkNMUzJDdGRmNHNnR0Zyak5QM0xIU0lJX2lrZnZvTUc5UWlueTVZV1JoQQ?hl=ko&gl=KR&ceid=KR%3Ako,"=HYPERLINK(""https://news.google.com/read/CBMiTkFVX3lxTFBfckZUQzNUTmVwT2lUUTRnTm1SckRJR1c0TmRUTkNMUzJDdGRmNHNnR0Zyak5QM0xIU0lJX2lrZnZvTUc5UWlueTVZV1JoQQ?hl=ko&gl=KR&ceid=KR%3Ako"", ""직스테크놀로지, 호라이즌아이엠으로부터 투자 유치"")"
벰로보틱스,"벰로보틱스, 60억 시리즈A 투자 유치...우리 기술로 완성하는 물류로봇 시스템 주목",https://news.google.com/read/CBMid0FVX3lxTE8xOFBJWF85UmxvNDlLRFJnc2NYSkk0QkVXSmV6RkVfMzJoZnhSR2VZVzN0ME1hVy1KQ0ZHU1ZVMEpuOG0xU1U0bjE0TGRCeC0wMEpvd3pSODlKR25tc2FrSnAzSTU5U2tzaEdyaHM5SnpCRFVFX2tZ?hl=ko&gl=KR&ceid=KR%3Ako,"=HYPERLINK(""https://news.google.com/read/CBMid0FVX3lxTE8xOFBJWF85UmxvNDlLRFJnc2NYSkk0QkVXSmV6RkVfMzJoZnhSR2VZVzN0ME1hVy1KQ0ZHU1ZVMEpuOG0xU1U0bjE0TGRCeC0wMEpvd3pSODlKR25tc2FrSnAzSTU5U2tzaEdyaHM5SnpCRFVFX2tZ?hl=ko&gl=KR&ceid=KR%3Ako"", ""벰로보틱스, 60억 시리즈A 투자 유치...우리 기술로 완성하는 물류로봇 시스템 주목"")"
필상,"필상, 스케일업 팁스 프로그램 최종 선정...딥테크팁스 이어 연속 선정",https://news.google.com/read/CBMibEFVX3lxTE44RFMybW1QaVZGZ2VWOVJVNDdFNGJGYmM1Q1hSWmd4aEExZmZ6eUk2cXg3QUhfa0VJT0l5Q0kwUE1Ka0pzcl9xY1IxaFNhbVlERXczNTFrRzM5amtiejhfX0d2a1BYNElEbVREaA?hl=ko&gl=KR&ceid=KR%3Ako,"=HYPERLINK(""https://news.google.com/read/CBMibEFVX3lxTE44RFMybW1QaVZGZ2VWOVJVNDdFNGJGYmM1Q1hSWmd4aEExZmZ6eUk2cXg3QUhfa0VJT0l5Q0kwUE1Ka0pzcl9xY1IxaFNhbVlERXczNTFrRzM5amtiejhfX0d2a1BYNElEbVREaA?hl=ko&gl=KR&ceid=KR%3Ako"", ""필상, 스케일업 팁스 프로그램 최종 선정...딥테크팁스 이어 연속 선정"")"
노블리지스,,,"=HYPERLINK(""None"", ""None"")"
브이픽스메디칼,"빅무브벤처스, ‘실시간 디지털 생검’ 브이픽스메디칼에 투자",https://news.google.com/read/CBMiSEFVX3lxTE0yaFVmdUw5S29Xb1dvRGVBTVowbWJNSjlCRGxqSmFlNnRRVEc0TnlLNDJxczh6MUhZZVl4dEVBZzZfTEhMNk9nOA?hl=ko&gl=KR&ceid=KR%3Ako,"=HYPERLINK(""https://news.google.com/read/CBMiSEFVX3lxTE0yaFVmdUw5S29Xb1dvRGVBTVowbWJNSjlCRGxqSmFlNnRRVEc0TnlLNDJxczh6MUhZZVl4dEVBZzZfTEhMNk9nOA?hl=ko&gl=KR&ceid=KR%3Ako"", ""빅무브벤처스, ‘실시간 디지털 생검’ 브이픽스메디칼에 투자"")"
에이치오피,"와이앤아처, 실내 위치 측위 기술 스타트업 ‘에이치오피’에 Seed 투자",https://news.google.com/read/CBMifEFVX3lxTE4yNW1EYTF1OXdRaWhLN3Z4Mkc3Zi1sNzYtYjIzenN2NXIwd21lT3BHZnFSUlJHLWJ3bk1sejlGVS1yS0FFZml6MnNqTnRNM19hOVRMOU84MC1WR0tCNEpPcW5GbTdrQU1CNWxTdHFCbjFMQ2JiWHBXS2xXTnI?hl=ko&gl=KR&ceid=KR%3Ako,"=HYPERLINK(""https://news.google.com/read/CBMifEFVX3lxTE4yNW1EYTF1OXdRaWhLN3Z4Mkc3Zi1sNzYtYjIzenN2NXIwd21lT3BHZnFSUlJHLWJ3bk1sejlGVS1yS0FFZml6MnNqTnRNM19hOVRMOU84MC1WR0tCNEpPcW5GbTdrQU1CNWxTdHFCbjFMQ2JiWHBXS2xXTnI?hl=ko&gl=KR&ceid=KR%3Ako"", ""와이앤아처, 실내 위치 측위 기술 스타트업 ‘에이치오피’에 Seed 투자"")"
네오바이오텍,,,"=HYPERLINK(""None"", ""None"")"
